"","indicator","Indicator_Id","Indicator_Name","answer","Display_Name","Dataset","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"2017","controls in the taxpayer registration system-PEFA-Total","40-PEFA-Total","controls in the taxpayer registration system","Total","Controls in the taxpayer registration system","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",5.025,"Public Sector Management","Public Expenditure Management","Other","Controls in the taxpayer registration system (i)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA41","PEFA41","GOV","40-PEFA-Total",NA
"2018","coverage and quality of the internal audit function-PEFA-Total","70-PEFA-Total","coverage and quality of the internal audit function","Total","Coverage and quality of the internal audit function","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.105,"Public Sector Management","Public Expenditure Management","Other","Coverage and quality of the internal audit function (i)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA42","PEFA42","GOV","70-PEFA-Total",NA
"2019","degree of compliance with rules for processing and recording transactions-PEFA-Total","68-PEFA-Total","degree of compliance with rules for processing and recording transactions","Total","Degree of compliance with rules for processing and recording transactions","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.115,"Public Sector Management","Public Expenditure Management","Other","Degree of compliance with rules for processing and recording transactions (iii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA92","PEFA92","GOV","68-PEFA-Total",NA
"2020","degree of integration and reconciliation between personnel records and payroll data-PEFA-Total","56-PEFA-Total","degree of integration and reconciliation between personnel records and payroll data","Total","Degree of integration and reconciliation between personnel records and payroll data","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",5.036,"Public Sector Management","Public Expenditure Management","Other","Degree of integration and reconciliation between personnel records and payroll data (i)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA43","PEFA43","GOV","56-PEFA-Total",NA
"2021","effectiveness in collection of tax payments-PEFA-Total","43-PEFA-Total","effectiveness in collection of tax payments","Total","Effectiveness in collection of tax payments","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.388,"Public Sector Management","Public Expenditure Management","Other","Effectiveness in collection of tax payments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA7","PEFA7","GOV","43-PEFA-Total",NA
"2022","effectiveness of expenditure commitment controls-PEFA-Total","66-PEFA-Total","effectiveness of expenditure commitment controls","Total","Effectiveness of expenditure commitment controls","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.447,"Public Sector Management","Public Expenditure Management","Other","Effectiveness of expenditure commitment controls (i)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA44","PEFA44","GOV","66-PEFA-Total",NA
"2023","effectiveness of internal audit-PEFA-Total","69-PEFA-Total","effectiveness of internal audit","Total","Effectiveness of internal audit","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",3.07,"Public Sector Management","Public Expenditure Management","Other","Effectiveness of internal audit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA8","PEFA8","GOV","69-PEFA-Total",NA
"2024","effectiveness of internal controls for nonsalary expenditure-PEFA-Total","65-PEFA-Total","effectiveness of internal controls for nonsalary expenditure","Total","Effectiveness of internal controls for nonsalary expenditure","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",3.08,"Public Sector Management","Public Expenditure Management","Other","Effectiveness of internal controls for nonsalary expenditure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA9","PEFA9","GOV","65-PEFA-Total",NA
"2025","effectiveness of measures for taxpayer registration and tax assessment-PEFA-Total","39-PEFA-Total","effectiveness of measures for taxpayer registration and tax assessment","Total","Effectiveness of measures for taxpayer registration and tax assessment","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.967,"Public Sector Management","Public Expenditure Management","Other","Effectiveness of measures for taxpayer registration and tax assessment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA10","PEFA10","GOV","39-PEFA-Total",NA
"2026","effectiveness of payroll controls-PEFA-Total","55-PEFA-Total","effectiveness of payroll controls","Total","Effectiveness of payroll controls","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.793,"Public Sector Management","Public Expenditure Management","Other","Effectiveness of payroll controls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA11","PEFA11","GOV","55-PEFA-Total",NA
"2027","effectiveness of penalties for noncompliance with registration and declaration obligations-PEFA-Total","41-PEFA-Total","effectiveness of penalties for noncompliance with registration and declaration obligations","Total","Effectiveness of penalties for noncompliance with registration and declaration obligations","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.013,"Public Sector Management","Public Expenditure Management","Other","Effectiveness of penalties for noncompliance with registration and declaration obligations (ii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA69","PEFA69","GOV","41-PEFA-Total",NA
"2028","effectiveness of transfer of tax collections to the treasury by the revenue administration-PEFA-Total","45-PEFA-Total","effectiveness of transfer of tax collections to the treasury by the revenue administration","Total","Effectiveness of transfer of tax collections to the treasury by the revenue administration","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.663,"Public Sector Management","Public Expenditure Management","Other","Effectiveness of transfer of tax collections to the Treasury by the revenue administration (ii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA70","PEFA70","GOV","45-PEFA-Total",NA
"2029","evidence of follow up on audit recommendations-PEFA-Total","89-PEFA-Total","evidence of follow up on audit recommendations","Total","Evidence of follow up on audit recommendations","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",5.077,"Public Sector Management","Public Expenditure Management","Other","Evidence of follow up on audit recommendations (iii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA93","PEFA93","GOV","89-PEFA-Total",NA
"2030","existence and functioning of a tax appeals mechanism-PEFA-Total","38-PEFA-Total","existence and functioning of a tax appeals mechanism","Total","Existence and functioning of a tax appeals mechanism","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.002,"Public Sector Management","Public Expenditure Management","Other","Existence and functioning of a tax appeals mechanism (iii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA94","PEFA94","GOV","38-PEFA-Total",NA
"2031","existence of an independent administrative procurement complaints system-PEFA-Total","64-PEFA-Total","existence of an independent administrative procurement complaints system","Total","Existence of an independent administrative procurement complaints system","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.05,"Public Sector Management","Public Expenditure Management","Other","Existence of an independent administrative procurement complaints system (iv)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA108","PEFA108","GOV","64-PEFA-Total",NA
"2032","existence of and adherence to a fixed budget calendar-PEFA-Total","27-PEFA-Total","existence of and adherence to a fixed budget calendar","Total","Existence of and adherence to a fixed budget calendar","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.412,"Public Sector Management","Public Expenditure Management","Other","Existence of and adherence to a fixed budget calendar (i)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA45","PEFA45","GOV","27-PEFA-Total",NA
"2033","existence of payroll audits to identify control weaknesses and/or ghost workers-PEFA-Total","59-PEFA-Total","existence of payroll audits to identify control weaknesses and/or ghost workers","Total","Existence of payroll audits to identify control weaknesses and/or ghost workers","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.001,"Public Sector Management","Public Expenditure Management","Other","Existence of payroll audits to identify control weaknesses and/or ghost workers (iv)¥Ë_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA109","PEFA109","GOV","59-PEFA-Total",NA
"2034","existence of sector strategies with multi-year costing of recurrent and investment expenditure-PEFA-Total","33-PEFA-Total","existence of sector strategies with multi-year costing of recurrent and investment expenditure","Total","Existence of sector strategies with multi-year costing of recurrent and investment expenditure","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.299,"Public Sector Management","Public Expenditure Management","Other","Existence of sector strategies with multi-year costing of recurrent and investment expenditure (iii)¥Ë_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA95","PEFA95","GOV","33-PEFA-Total",NA
"2035","extent of central government monitoring of agas and pes-PEFA-Total","22-PEFA-Total","extent of central government monitoring of agas and pes","Total","Extent of central government monitoring of agas and pes","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.126,"Public Sector Management","Public Expenditure Management","Other","Extent of central government monitoring of AGAs and Pes (i)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA46","PEFA46","GOV","22-PEFA-Total",NA
"2036","extent of central government monitoring of sn governments fiscal position-PEFA-Total","23-PEFA-Total","extent of central government monitoring of sn governments fiscal position","Total","Extent of central government monitoring of sn governments fiscal position","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.624,"Public Sector Management","Public Expenditure Management","Other","Extent of central government monitoring of SN governments fiscal position (ii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA71","PEFA71","GOV","23-PEFA-Total",NA
"2037","extent of consolidation of the government’s cash balances-PEFA-Total","53-PEFA-Total","extent of consolidation of the government’s cash balances","Total","Extent of consolidation of the government’s cash balances","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.95,"Public Sector Management","Public Expenditure Management","Other","Extent of consolidation of the government cash balances (ii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA72","PEFA72","GOV","53-PEFA-Total",NA
"2038","extent of hearings on key findings undertaken by the legislature-PEFA-Total","97-PEFA-Total","extent of hearings on key findings undertaken by the legislature","Total","Extent of hearings on key findings undertaken by the legislature","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.372,"Public Sector Management","Public Expenditure Management","Other","Extent of hearings on key findings undertaken by the legislature (ii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA73","PEFA73","GOV","97-PEFA-Total",NA
"2039","extent of management response to internal audit findings-PEFA-Total","72-PEFA-Total","extent of management response to internal audit findings","Total","Extent of management response to internal audit findings","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.2,"Public Sector Management","Public Expenditure Management","Other","Extent of management response to internal audit findings (iii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA96","PEFA96","GOV","72-PEFA-Total",NA
"2040","extent of unreported government operations-PEFA-Total","15-PEFA-Total","extent of unreported government operations","Total","Extent of unreported government operations","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.45,"Public Sector Management","Public Expenditure Management","Other","Extent of unreported government operations¥Ë_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA12","PEFA12","GOV","15-PEFA-Total",NA
"2041","extent to which cash flows are forecast and monitored-PEFA-Total","48-PEFA-Total","extent to which cash flows are forecast and monitored","Total","Extent to which cash flows are forecast and monitored","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.063,"Public Sector Management","Public Expenditure Management","Other","Extent to which cash flows are forecast and monitored (i)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA48","PEFA48","GOV","48-PEFA-Total",NA
"2042","extent to which consolidated fiscal data at least on revenue and expenditure is collected and reported for general government according to sectoral categories-PEFA-Total","20-PEFA-Total","extent to which consolidated fiscal data at least on revenue and expenditure is collected and reported for general government according to sectoral categories","Total","Extent to which consolidated fiscal data at least on revenue and expenditure is collected and reported for general government according to sectoral categories","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.067,"Public Sector Management","Public Expenditure Management","Other","Extent to which consolidated fiscal data at least on revenue and expenditure is collected and reported for general government according to sectoral categories (iii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA97","PEFA97","GOV","20-PEFA-Total",NA
