"","Indicator_Id","X.1","Dataset","X","indicator","Indicator_Name","answer","Display_Name","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description","n_Countries","n_years","min_year","max_year"
"4102","PAM_IAD99",3814,"PAM_IAD",3943,"5","5","Total","Coverage of Public Officials / Head(s) of State (Code 5)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.101,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD99","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4103","PAM1",3578,"PAM",3707,"36","36","Total","Administrative sanctions",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.185,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM1","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",83,1,2010,2010
"4104","PAM10",3579,"PAM",3708,"6","6","Total","Coverage of information score",NA,"5 Highest 0 Lowest","5 Highest 0 Lowest","Value",4.287,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM10","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",83,1,2010,2010
"4105","PAM11",3580,"PAM",3709,"38","38","Total","Criminal sanctions",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.089,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM11","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",83,1,2010,2010
"4106","PAM12",3581,"PAM",3710,"30","30","Total","Deadlines for release of information score",NA,"5 Highest 0 Lowest","5 Highest 0 Lowest","Value",4.087,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM12","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",83,1,2010,2010
"4107","PAM13",3582,"PAM",3711,"7","7","Total","Draft legal instruments",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.166,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM13","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",83,1,2010,2010
"4108","PAM14",3583,"PAM",3712,"15","15","Total","Electronic requests",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.112,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM14","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",83,1,2010,2010
"4109","PAM15",3584,"PAM",3713,"8","8","Total","Enacted legal instruments",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.167,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM15","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",83,1,2010,2010
"4110","PAM16",3585,"PAM",3714,"27","27","Total","Enforcement mechanism score",NA,"5 Highest 0 Lowest","5 Highest 0 Lowest","Value",4.127,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM16","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",83,1,2010,2010
"4111","PAM17",3586,"PAM",3715,"18","18","Total","Exemptions to coverage",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.315,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM17","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",83,1,2010,2010
"4112","PAM18",3587,"PAM",3716,"17","17","Total","Exemptions to disclosure requirements score",NA,"5 Highest 0 Lowest","5 Highest 0 Lowest","Value",4.312,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM18","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",83,1,2010,2010
"4113","PAM19",3588,"PAM",3717,"2","2","Total","Existence of legal right to access",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.292,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM19","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",83,1,2010,2010
"4114","PAM2",3589,"PAM",3718,"9","9","Total","Annual budgets",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.192,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM2","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",83,1,2010,2010
"4115","PAM20",3590,"PAM",3719,"28","28","Total","FOIA contact points",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.041,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM20","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",83,1,2010,2010
"4116","PAM21",3591,"PAM",3720,"29","29","Total","FOIA enforcement body",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.347,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM21","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",83,1,2010,2010
"4117","PAM22",3592,"PAM",3721,"37","37","Total","Fines",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.338,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM22","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",83,1,2010,2010
"4118","PAM23",3593,"PAM",3722,"21","21","Total","Harm test",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.293,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM23","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",83,1,2010,2010
"4119","PAM24",3594,"PAM",3723,"25","25","Total","Independent Nonjudicial appeals mechanism",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.264,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM24","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",83,1,2010,2010
